,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
392,-1.01162790698,18.8936170213,0.0731677664578,0.200051056759,19.6730371547,2.46542281566,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,5.3246500343,0.0278142337962,658.720695385,37.1302481275
393,-1.01162790698,19.0638297872,0.0736931339845,0.200542107346,19.6777714923,2.46917332979,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-2.05779242797,0.0317407852684,664.655116064,37.1391835619
394,-1.01162790698,19.2340425532,0.0740795645171,0.200280028164,19.6831741792,2.47207095962,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-5.07565371117,0.0331876968414,670.589536743,37.1493804167
395,-1.01162790698,19.4042553191,0.0744380045233,0.199806281914,19.6888231489,2.47480757556,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-1.88941544321,0.0276258488244,676.523957422,37.1600420977
396,-1.01162790698,19.5744680851,0.0741206960301,0.199253078156,19.693525421,2.47988611089,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,5.27104521802,0.0283300572993,682.458378102,37.1689170126
397,-1.01162790698,19.7446808511,0.073567245322,0.198683071701,19.6983475584,2.48507102132,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,4.31231431283,0.032041876981,688.392798781,37.1780181573
398,-1.01162790698,19.914893617,0.0725238391341,0.198275311295,19.7038014949,2.48952620573,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,0.975752654083,0.0307530142327,694.32721946,37.1883117391
399,-1.01162790698,20.085106383,0.0714979150241,0.197902048383,19.7090360506,2.49391187697,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-2.98618944878,0.0395655547936,700.261640139,37.1981912685
400,-1.01162790698,20.2553191489,0.07067984947,0.197607530832,19.7157706131,2.49649756797,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-5.79097187084,0.0376082756698,706.196060818,37.2109018619
401,-1.01162790698,20.4255319149,0.0702644934331,0.197474756626,19.7221720217,2.49930630076,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,-0.894327163185,0.0275831600822,712.130481497,37.2229836716
